"cor.cor";"mse.1";"description"
"183";0.65024591054164;0.462059212385508;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion + common_word_proportion"
"184";0.65024591054164;0.462059212385508;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion"
"185";0.566075038435435;0.616009545741585;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion + antonym"
"186";0.650466332039598;0.468441652064409;"target~ embeddings_sum + tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion"
"187";0.650074719821581;0.468521962775455;"target~ embeddings_sum + tfidf + penality.rowsums + common_word_proportion + antonym"
"188";0.650074719821581;0.468521962775454;"target~ embeddings_sum + tfidf + penality.rowsums + uncommon_word_proportion + antonym"
"189";0.655708689574535;0.453466424611654;"target~ embeddings_sum + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"190";0.656431431342018;0.451602019212693;"target~ embeddings_sum + tfidf + ngram_proportion + common_word_proportion + antonym"
"191";0.656431431342018;0.451602019212693;"target~ embeddings_sum + tfidf + ngram_proportion + uncommon_word_proportion + antonym"
"192";0.654178079271778;0.462513742187715;"target~ embeddings_sum + tfidf + common_word_proportion + uncommon_word_proportion + antonym"
"193";0.631907761663331;0.45926321646852;"target~ embeddings_sum + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"194";0.633422465285994;0.458631059193073;"target~ embeddings_sum + penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"195";0.633422465285994;0.458631059193073;"target~ embeddings_sum + penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"196";0.620234458059642;0.469990989173525;"target~ embeddings_sum + penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"197";0.641214162295161;0.450714649886338;"target~ embeddings_sum + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"198";0.651357667023618;0.460444583396686;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion"
"199";0.651357667023618;0.460444583396685;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion"
"200";0.56059363025369;0.619136560415378;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion + antonym"
"201";0.649710489666142;0.467525136887306;"target~ embeddings_pca + tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion"
"202";0.648410245726332;0.470604809437117;"target~ embeddings_pca + tfidf + penality.rowsums + common_word_proportion + antonym"
"203";0.648410245726332;0.470604809437117;"target~ embeddings_pca + tfidf + penality.rowsums + uncommon_word_proportion + antonym"
"204";0.649307424644794;0.444954824457308;"target~ embeddings_pca + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"205";0.64859257326423;0.44568643584959;"target~ embeddings_pca + tfidf + ngram_proportion + common_word_proportion + antonym"
"206";0.648592573264229;0.445686435849591;"target~ embeddings_pca + tfidf + ngram_proportion + uncommon_word_proportion + antonym"
"207";0.638172686476009;0.455866285168151;"target~ embeddings_pca + tfidf + common_word_proportion + uncommon_word_proportion + antonym"
"208";0.631424981680853;0.461820811596875;"target~ embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"209";0.635381004207291;0.457258887012487;"target~ embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"210";0.635381004207291;0.457258887012486;"target~ embeddings_pca + penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"211";0.624320642787867;0.468205959454856;"target~ embeddings_pca + penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"212";0.641801003223214;0.458566841062414;"target~ embeddings_pca + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"213";0.655654015078096;0.453847932206465;"target~ tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"214";0.656416299414286;0.45194323988267;"target~ tfidf + penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"215";0.656416299414287;0.45194323988267;"target~ tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"216";0.65420345286091;0.46281933116661;"target~ tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"217";0.64914269250553;0.447286954519093;"target~ tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"218";0.641059397602641;0.450876805490535;"target~ penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"219";0.646303989517005;0.467107862964122;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion"
"220";0.646303989517005;0.467107862964121;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion"
"221";0.558750233193839;0.622660363895344;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion + antonym"
"222";0.646660413095631;0.472468555786219;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion"
"223";0.645274851760265;0.476191176894196;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + common_word_proportion + antonym"
"224";0.645274851760265;0.476191176894195;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + uncommon_word_proportion + antonym"
"225";0.652318449115404;0.457828082509753;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"226";0.652619016260588;0.457399575736748;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + common_word_proportion + antonym"
"227";0.652619016260588;0.457399575736748;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + uncommon_word_proportion + antonym"
"228";0.650307143334332;0.465354171946478;"target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion + uncommon_word_proportion + antonym"
"229";0.6251735834897;0.467621937681876;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"230";0.626008009752929;0.466402395596406;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"231";0.626008009752929;0.466402395596405;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"232";0.617989297091873;0.474299353411609;"target~ embeddings_sum + embeddings_pca + penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"233";0.634376913503558;0.458462986280795;"target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"234";0.652112839986037;0.459296279566907;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"235";0.651541313949638;0.459966053729111;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"236";0.651541313949637;0.45996605372911;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"237";0.65217359143073;0.465724269525302;"target~ embeddings_sum + tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"238";0.656348182396286;0.451700690294599;"target~ embeddings_sum + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"239";0.633757319887089;0.458038823431552;"target~ embeddings_sum + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"240";0.652244806994476;0.458229241883464;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"241";0.652545776397622;0.457818508055674;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"242";0.652545776397622;0.457818508055675;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"243";0.650232520767408;0.465844691855674;"target~ embeddings_pca + tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"244";0.648899115574576;0.445613962550728;"target~ embeddings_pca + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"245";0.634189892447787;0.458761601186858;"target~ embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"246";0.656323303586436;0.451956324775142;"target~ tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"247";0.647538026734476;0.465232404182661;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion"
"248";0.647313418528939;0.465709018987565;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + antonym"
"249";0.647313418528939;0.465709018987564;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion + uncommon_word_proportion + antonym"
"250";0.648000560761492;0.470238058209922;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + common_word_proportion + uncommon_word_proportion + antonym"
"251";0.652506410442828;0.457064003735443;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"252";0.626121184956344;0.466420616195881;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"253";0.653361276421782;0.457661855440587;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"254";0.65241404202612;0.457475622599877;"target~ embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
"255";0.649368832410202;0.462176558668102;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym"
