cor,cor;mse,1;normalizacao;description;Classificador;Sinonimos + delaf;Hiponimos;Hiperonimos;Hiponimos + Hiperonimos;Média WE
0,199509386;406.707.676.721.061;Não;target~ embeddings_sum + penality,rowsums + ngram_proportion + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,199509386;40.670.767.672.106;Não;target~ embeddings_sum + penality,rowsums + ngram_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,199425545;635.301.759.105.203;Não;target~ embeddings_sum + penality,rowsums + common_word_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,642197262;0,449608455;Não;target~ embeddings_sum + ngram_proportion + common_word_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,651649835;0,453704916;Não;target~ embeddings_pca + tfidf + penality,rowsums + ngram_proportion + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,651649835;0,453704916;Não;target~ embeddings_pca + tfidf + penality,rowsums + ngram_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,550537195;0,61684101;Não;target~ embeddings_pca + tfidf + penality,rowsums + ngram_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,646881773;0,467989149;Não;target~ embeddings_pca + tfidf + penality,rowsums + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,646573543;0,46828431;Não;target~ embeddings_pca + tfidf + penality,rowsums + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,646573543;0,46828431;Não;target~ embeddings_pca + tfidf + penality,rowsums + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,639653163;0,456763648;Não;target~ embeddings_pca + tfidf + ngram_proportion + common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,639470451;0,456896488;Não;target~ embeddings_pca + tfidf + ngram_proportion + common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,639470451;0,456896488;Não;target~ embeddings_pca + tfidf + ngram_proportion + uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
